candidate_index,n_records,background,candidate_passed,action,validation_f1,is_light,is_high_utility,latency_upper_ms,thermal_upper_c_max_fit_state,in_near_cap_band,thermal_feasible
15,1024,B0,0,fisvdd_revision,0.804179446,1,0,97.982463000,35.840432774,0,1
15,1024,B0,0,lucid_revision,0.941963921,0,1,756.840109000,37.131323862,0,1
15,1024,B0,0,tinydl_revision,0.956168592,0,1,92.043534000,37.278376600,0,1
15,1024,B0,0,oi_svdd_as_elm_revision,0.950867587,0,1,125.583248000,36.782640341,0,1
16,1024,B1,0,fisvdd_revision,0.804179446,1,0,102.529674000,36.894275133,0,1
16,1024,B1,0,lucid_revision,0.941963921,0,1,751.418525000,38.641691758,0,1
16,1024,B1,0,tinydl_revision,0.956168592,0,1,93.521998000,36.960262557,0,1
16,1024,B1,0,oi_svdd_as_elm_revision,0.950867587,0,1,114.021544000,37.836975233,0,1
17,1024,B2,0,fisvdd_revision,0.804179446,1,0,99.988625000,37.035526964,0,1
17,1024,B2,0,lucid_revision,0.941963921,0,1,785.213878000,40.155144676,0,1
17,1024,B2,0,tinydl_revision,0.956168592,0,1,93.288310000,38.015265645,0,1
17,1024,B2,0,oi_svdd_as_elm_revision,0.950867587,0,1,114.064118000,38.434270972,0,1
