cell_run_id,accepted_attempt_id,execution_order,policy,condition,seed,tp,fp,fn,tn,precision,recall,f1,fpr,cumulative_reward,mean_reward,p50_e2e,p95_e2e,p99_e2e,max_e2e,mean_controller,p95_controller,p99_controller,mean_detector,switch_count,switch_rate,switch_cost,latency_violations,thermal_violations,safe_set_mean,mean_temperature,max_temperature,mean_power_W,peak_power_W,total_energy_J,total_energy_Wh,J_per_window,J_per_1000_records,J_per_correct_attack,action_composition
pi4b8_formal_42_fssql_r_n16_B1_s5104,pi4b8_formal_42_fssql_r_n16_B1_s5104,42,FSSQL-R,n16/B1,5104,398,39,0,163,0.9107551487414187,1.0,0.9532934131736527,0.19306930693069307,359.0,0.5983333333333334,4.007546493085101,4.1278719931142405,5.070908090565353,5.74157401570119,4.03703658725135,4.1278719931142405,5.070908090565353,0.56712376846311,41,0.06833333333333333,0.0,0,0,4.0,38.56208166666667,39.92,2.753532415962,2.753532415962,165.22641649152365,0.04589622680320101,0.2753773608192061,275.3773608192061,0.4151417499787026,"{""fisvdd_revision"": 12, ""lucid_revision"": 2, ""oi_svdd_as_elm_revision"": 572, ""tinydl_revision"": 14}"
pi4b8_formal_43_fssql_r_n16_B2_s5104,pi4b8_formal_43_fssql_r_n16_B2_s5104,43,FSSQL-R,n16/B2,5104,430,32,0,138,0.9307359307359307,1.0,0.9641255605381166,0.18823529411764706,398.0,0.6633333333333333,3.987944990512915,4.128430743003264,5.5160097795305765,7.984445022884756,4.037284969623822,4.128430743003264,5.5160097795305765,0.53450505064878,11,0.018333333333333333,0.0,0,0,4.0,38.466305000000006,40.407,2.7417853999199995,2.7417853999199995,164.51495761881077,0.04569859933855855,0.2741915960313513,274.19159603135125,0.38259292469490874,"{""fisvdd_revision"": 4, ""oi_svdd_as_elm_revision"": 592, ""tinydl_revision"": 4}"
pi4b8_formal_44_threshold_n16_B1_s5104,pi4b8_formal_44_threshold_n16_B1_s5104,44,Threshold,n16/B1,5104,364,10,34,192,0.9732620320855615,0.914572864321608,0.9430051813471502,0.04950495049504951,354.0,0.59,3.6718214832944795,3.812198160449043,4.939715580258051,9.526256006211042,3.725852303856906,3.812198160449043,4.939715580258051,0.2868259313011852,4,0.006666666666666667,0.0,0,0,4.0,38.50201833333334,40.407,3.1385084042159996,3.1385084042159996,188.32699476074276,0.05231305410020632,0.31387832460123793,313.8783246012379,0.5173818537383043,"{""lucid_revision"": 2, ""tinydl_revision"": 598}"
pi4b8_formal_45_static_light_n16_B2_s5104,pi4b8_formal_45_static_light_n16_B2_s5104,45,Static-Light,n16/B2,5104,416,34,14,136,0.9244444444444444,0.9674418604651163,0.9454545454545454,0.2,382.0,0.6366666666666667,4.030352502013557,4.180094963521697,5.490414973173755,7.56584299961105,4.082241933986855,4.180094963521697,5.490414973173755,0.634673129679868,0,0.0,0.0,0,0,4.0,38.42896833333334,39.92,2.75017795008,2.75017795008,164.96619792028383,0.04582394386674551,0.27494366320047303,274.94366320047305,0.39655336038529765,"{""lucid_revision"": 600}"
pi4b8_formal_46_safe_greedy_n16_B0_s5104,pi4b8_formal_46_safe_greedy_n16_B0_s5104,46,Safe-Greedy,n16/B0,5104,407,193,0,0,0.6783333333333333,1.0,0.8083416087388282,1.0,214.0,0.3566666666666667,3.8430404965765774,3.9722437359159812,4.748151402745857,5.931367981247604,3.8776624155192017,3.9722437359159812,4.748151402745857,0.42895463896760094,0,0.0,0.0,0,0,4.0,38.390008333333334,39.92,3.1311222768,3.1311222768,187.99945091833297,0.05222206969953694,0.31333241819722163,313.3324181972216,0.4619151128214569,"{""fisvdd_revision"": 600}"
pi4b8_formal_47_fssql_r_n16_B0_s5104,pi4b8_formal_47_fssql_r_n16_B0_s5104,47,FSSQL-R,n16/B0,5104,407,37,0,156,0.9166666666666666,1.0,0.9565217391304348,0.19170984455958548,370.0,0.6166666666666667,4.014149002614431,4.396198788890615,5.4414290632121265,5.792018986539915,4.069009298546007,4.396198788890615,5.4414290632121265,0.5330242830677889,26,0.043333333333333335,0.0,0,0,4.0,38.499583333333334,40.407,2.746361920434,2.746361920434,164.80327737211965,0.04577868815892212,0.27467212895353277,274.67212895353276,0.4049220574253554,"{""fisvdd_revision"": 9, ""oi_svdd_as_elm_revision"": 582, ""tinydl_revision"": 9}"
pi4b8_formal_48_threshold_n16_B2_s5104,pi4b8_formal_48_threshold_n16_B2_s5104,48,Threshold,n16/B2,5104,404,11,26,159,0.9734939759036144,0.9395348837209302,0.9562130177514792,0.06470588235294118,393.0,0.655,3.7166995025472715,3.9443808040232393,5.015022123698144,6.759540003258735,3.78411280180444,3.9443808040232393,5.015022123698144,0.2875740971164002,0,0.0,0.0,0,0,4.0,38.57750333333333,39.92,2.7663395868419998,2.7663395868419998,165.9874026342615,0.04610761184285042,0.2766456710571025,276.64567105710256,0.4108599075105483,"{""tinydl_revision"": 600}"
pi4b8_formal_49_static_light_n16_B1_s5105,pi4b8_formal_49_static_light_n16_B1_s5105,49,Static-Light,n16/B1,5105,395,51,9,145,0.8856502242152466,0.9777227722772277,0.9294117647058824,0.2602040816326531,344.0,0.5733333333333334,4.001278502983041,4.197544069029391,5.5439944087993345,6.33423202089034,4.062271653383505,4.197544069029391,5.5439944087993345,0.6188064424592691,0,0.0,0.0,0,0,4.0,38.465493333333335,40.407,2.742439501532,2.742439501532,164.5604162966193,0.04571122674906092,0.2742673604943655,274.2673604943655,0.4166086488522008,"{""lucid_revision"": 600}"
pi4b8_formal_50_threshold_n16_B2_s5105,pi4b8_formal_50_threshold_n16_B2_s5105,50,Threshold,n16/B2,5105,390,9,19,182,0.9774436090225563,0.9535452322738386,0.9653465346534652,0.04712041884816754,381.0,0.635,3.70050550554879,3.8236425825743936,5.308008621504992,8.222072006901726,3.753553809656296,3.8236425825743936,5.308008621504992,0.2875019433849957,4,0.006666666666666667,0.0,0,0,4.0,38.45818833333333,39.92,2.7523818053279996,2.7523818053279996,165.15112452341663,0.04587531236761573,0.27525187420569436,275.2518742056944,0.42346442185491445,"{""lucid_revision"": 2, ""tinydl_revision"": 598}"
pi4b8_formal_51_fssql_r_n16_B2_s5105,pi4b8_formal_51_fssql_r_n16_B2_s5105_attempt2,51,FSSQL-R,n16/B2,5105,393,38,16,153,0.9118329466357309,0.960880195599022,0.9357142857142858,0.19895287958115182,355.0,0.5916666666666667,3.8624510052613914,4.325488665199372,6.28700628119986,13.525801012292504,3.9726505996562387,4.325488665199372,6.28700628119986,0.30786079475850175,146,0.24333333333333335,0.0,0,0,4.0,35.36168,37.485,2.888590578816,2.888590578816,173.37325913888216,0.04815923864968949,0.28895543189813694,288.9554318981369,0.4411533311421938,"{""fisvdd_revision"": 99, ""oi_svdd_as_elm_revision"": 1, ""tinydl_revision"": 500}"
pi4b8_formal_52_safe_greedy_n16_B1_s5105,pi4b8_formal_52_safe_greedy_n16_B1_s5105,52,Safe-Greedy,n16/B1,5105,404,196,0,0,0.6733333333333333,1.0,0.8047808764940239,1.0,208.0,0.3466666666666667,3.7346614990383387,3.8986428291536868,4.717770246788856,9.179943997878581,3.7751107637692862,3.8986428291536868,4.717770246788856,0.41917893502007547,0,0.0,0.0,0,0,4.0,36.07432333333333,37.972,2.8969002907594357,3.553334572032,173.84811251353824,0.04829114236487173,0.2897468541892304,289.7468541892304,0.43031711018202534,"{""fisvdd_revision"": 600}"
pi4b8_formal_53_static_light_n16_B0_s5105,pi4b8_formal_53_static_light_n16_B0_s5105,53,Static-Light,n16/B0,5105,378,46,12,164,0.8915094339622641,0.9692307692307692,0.9287469287469287,0.21904761904761905,332.0,0.5533333333333333,3.9460840198444203,4.061958161764778,5.184631129668559,6.073475000448525,3.9812506497643576,4.061958161764778,5.184631129668559,0.6110021464701276,0,0.0,0.0,0,0,4.0,36.12627,39.433,2.724883628612,2.724883628612,163.50658354986507,0.045418495430518076,0.27251097258310847,272.5109725831084,0.43255709933826736,"{""lucid_revision"": 600}"
pi4b8_formal_54_fssql_r_n16_B0_s5105,pi4b8_formal_54_fssql_r_n16_B0_s5105,54,FSSQL-R,n16/B0,5105,364,15,26,195,0.9604221635883905,0.9333333333333333,0.9466840052015605,0.07142857142857142,349.0,0.5816666666666667,3.673422004794702,3.7800709818839096,5.349857463152147,6.639207014814019,3.715647706994787,3.7800709818839096,5.349857463152147,0.28029823273148696,3,0.005,0.0,0,0,4.0,36.150619999999996,37.485,3.120046244512,3.120046244512,187.2265377229298,0.05200737158970272,0.31204422953821637,312.04422953821637,0.514358620117939,"{""fisvdd_revision"": 1, ""oi_svdd_as_elm_revision"": 1, ""tinydl_revision"": 598}"
pi4b8_formal_55_safe_greedy_n16_B0_s5105,pi4b8_formal_55_safe_greedy_n16_B0_s5105,55,Safe-Greedy,n16/B0,5105,390,210,0,0,0.65,1.0,0.787878787878788,1.0,180.0,0.3,3.7774755037389696,3.9868628999101925,5.419815399509389,9.519993996946141,3.843312300693166,3.9868628999101925,5.419815399509389,0.42057042325419997,0,0.0,0.0,0,0,4.0,36.113283333333335,37.972,2.984909612208,2.984909612208,179.10380209411636,0.04975105613725454,0.2985063368235273,298.5063368235273,0.45924051819004197,"{""fisvdd_revision"": 600}"
pi4b8_formal_56_threshold_n16_B0_s5105,pi4b8_formal_56_threshold_n16_B0_s5105,56,Threshold,n16/B0,5105,364,15,26,195,0.9604221635883905,0.9333333333333333,0.9466840052015605,0.07142857142857142,349.0,0.5816666666666667,3.8880999927641824,5.386672585154884,7.346406209690026,9.582658996805549,4.171905096397192,5.386672585154884,7.346406209690026,0.30177473798782256,4,0.006666666666666667,0.0,0,0,4.0,37.542628333333326,40.894,3.1722166012320003,3.1722166012320003,190.35601500039292,0.052876670833442475,0.31726002500065487,317.2600250006549,0.5229560851659146,"{""lucid_revision"": 2, ""tinydl_revision"": 598}"
pi4b8_formal_57_static_light_n16_B2_s5105,pi4b8_formal_57_static_light_n16_B2_s5105,57,Static-Light,n16/B2,5105,396,35,13,156,0.9187935034802784,0.9682151589242054,0.9428571428571428,0.18324607329842932,361.0,0.6016666666666667,4.134642498684116,4.734206097782589,6.093813161714934,7.45927999378182,4.220433533094668,4.734206097782589,6.093813161714934,0.6259751931065693,0,0.0,0.0,0,0,4.0,36.86245166666667,38.459,2.7811716566560003,2.7811716566560003,166.89393078408938,0.046359425217802605,0.2781565513068156,278.15655130681563,0.4214493201618419,"{""lucid_revision"": 600}"
pi4b8_formal_58_threshold_n16_B1_s5105,pi4b8_formal_58_threshold_n16_B1_s5105,58,Threshold,n16/B1,5105,380,23,24,173,0.9429280397022333,0.9405940594059405,0.9417596034696407,0.11734693877551021,357.0,0.595,3.773352495045401,5.006536973814945,6.536500939982942,9.271212009480223,3.9189254188871323,5.006536973814945,6.536500939982942,0.2893914665522364,2,0.0033333333333333335,0.0,0,0,4.0,36.972838333333335,41.381,3.119819557008,3.119819557008,187.20662374119482,0.052001839928109674,0.31201103956865806,312.011039568658,0.4926490098452495,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_59_safe_greedy_n16_B2_s5105,pi4b8_formal_59_safe_greedy_n16_B2_s5105,59,Safe-Greedy,n16/B2,5105,409,191,0,0,0.6816666666666666,1.0,0.8107036669970268,1.0,218.0,0.36333333333333334,3.794278498389758,3.8933371368329968,4.983537481748497,5.567017011344433,3.8297387291580285,3.8933371368329968,4.983537481748497,0.4221478682787468,0,0.0,0.0,0,0,4.0,36.32756333333334,38.459,2.974194299964,2.974194299964,178.46015291836702,0.04957226469954639,0.29743358819727833,297.43358819727837,0.43633289222094623,"{""fisvdd_revision"": 600}"
pi4b8_formal_60_fssql_r_n16_B1_s5105,pi4b8_formal_60_fssql_r_n16_B1_s5105,60,FSSQL-R,n16/B1,5105,380,25,24,171,0.9382716049382716,0.9405940594059405,0.9394313967861556,0.12755102040816327,355.0,0.5916666666666667,3.685613497509621,3.8154435023898254,5.099481145152822,6.213062006281689,3.7274016437489386,3.8154435023898254,5.099481145152822,0.2806217516384398,11,0.018333333333333333,0.0,0,0,4.0,36.12708166666667,37.972,2.72652409404,2.72652409404,163.6680156409796,0.04546333767804989,0.2727800260682993,272.7800260682993,0.4307053043183674,"{""fisvdd_revision"": 5, ""oi_svdd_as_elm_revision"": 1, ""tinydl_revision"": 594}"
