cell_run_id,accepted_attempt_id,execution_order,policy,condition,seed,tp,fp,fn,tn,precision,recall,f1,fpr,cumulative_reward,mean_reward,p50_e2e,p95_e2e,p99_e2e,max_e2e,mean_controller,p95_controller,p99_controller,mean_detector,switch_count,switch_rate,switch_cost,latency_violations,thermal_violations,safe_set_mean,mean_temperature,max_temperature,mean_power_W,peak_power_W,total_energy_J,total_energy_Wh,J_per_window,J_per_1000_records,J_per_correct_attack,action_composition
pi4b8_formal_11_safe_greedy_n16_B2_s5101,pi4b8_formal_11_safe_greedy_n16_B2_s5101,11,Safe-Greedy,n16/B2,5101,391,209,0,0,0.6516666666666666,1.0,0.7891019172552977,1.0,182.0,0.30333333333333334,3.8210015190998092,3.9640389091800894,4.948798863624687,9.481473010964692,3.8617140766291413,3.9640389091800894,4.948798863624687,0.4252848148947426,0,0.0,0.0,0,0,4.0,39.118885000000006,41.381,2.755962621522,2.755962621522,165.37700780598175,0.04593805772388382,0.2756283463433029,275.62834634330295,0.42295909924803515,"{""fisvdd_revision"": 600}"
pi4b8_formal_12_fssql_r_n16_B1_s5101,pi4b8_formal_12_fssql_r_n16_B1_s5101,12,FSSQL-R,n16/B1,5101,402,37,0,161,0.9157175398633257,1.0,0.9560047562425683,0.18686868686868688,365.0,0.6083333333333333,4.002906003734097,4.279426910215987,5.410400753899012,7.125048985471949,4.0601903438315885,4.279426910215987,5.410400753899012,0.5306383833036913,9,0.015,0.0,0,0,4.0,39.14242333333333,41.381,2.740458375516,2.740458375516,164.4408513037071,0.04567801425102975,0.2740680855061785,274.0680855061785,0.4090568440390724,"{""oi_svdd_as_elm_revision"": 595, ""tinydl_revision"": 5}"
pi4b8_formal_13_safe_greedy_n16_B1_s5102,pi4b8_formal_13_safe_greedy_n16_B1_s5102,13,Safe-Greedy,n16/B1,5102,418,182,0,0,0.6966666666666667,1.0,0.8212180746561886,1.0,236.0,0.3933333333333333,3.872981993481517,4.000787941913586,5.931050436338408,9.065351012395695,3.938549576657048,4.000787941913586,5.931050436338408,0.4277941329443517,0,0.0,0.0,0,0,4.0,39.127813333333336,40.407,2.7456232587,2.7456232587,164.74624912740097,0.045762846979833606,0.2745770818790016,274.57708187900164,0.3941297826014377,"{""fisvdd_revision"": 600}"
pi4b8_formal_14_static_light_n16_B2_s5102,pi4b8_formal_14_static_light_n16_B2_s5102,14,Static-Light,n16/B2,5102,383,50,7,160,0.8845265588914549,0.982051282051282,0.9307411907654921,0.23809523809523808,333.0,0.555,4.017841012682766,4.157756305357907,5.668346734892106,8.910037984605879,4.075046730528508,4.157756305357907,5.668346734892106,0.6183675947734931,0,0.0,0.0,0,0,4.0,39.138365,40.894,2.736875594986,2.736875594986,164.22597558382768,0.045618326551063244,0.2737099593063795,273.70995930637946,0.42878844799955007,"{""lucid_revision"": 600}"
pi4b8_formal_15_threshold_n16_B0_s5102,pi4b8_formal_15_threshold_n16_B0_s5102,15,Threshold,n16/B0,5102,395,12,18,175,0.9705159705159705,0.9564164648910412,0.9634146341463415,0.06417112299465241,383.0,0.6383333333333333,3.696308995131403,3.8446313061285764,5.458216183469626,8.999721991131082,3.7576456399983726,3.8446313061285764,5.458216183469626,0.28601630105792236,2,0.0033333333333333335,0.0,0,0,4.0,39.082359999999994,40.894,2.92807893888,2.92807893888,175.52687298291897,0.048757464717477494,0.29254478830486497,292.544788304865,0.44437183033650374,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_16_static_light_n16_B0_s5102,pi4b8_formal_16_static_light_n16_B0_s5102,16,Static-Light,n16/B0,5102,402,37,11,150,0.9157175398633257,0.9733656174334141,0.9436619718309859,0.19786096256684493,365.0,0.6083333333333333,4.0300635155290365,4.170178485219367,5.2977257446036665,6.616632017539814,4.072235587324637,4.170178485219367,5.2977257446036665,0.6189042711048387,0,0.0,0.0,0,0,4.0,39.0921,40.894,2.7446173248959997,2.744617324896,164.70216658064328,0.04575060182795647,0.2745036109677388,274.5036109677388,0.4097068820414012,"{""lucid_revision"": 600}"
pi4b8_formal_17_static_light_n16_B1_s5102,pi4b8_formal_17_static_light_n16_B1_s5102,17,Static-Light,n16/B1,5102,407,46,11,136,0.8984547461368654,0.9736842105263158,0.9345579793340988,0.25274725274725274,361.0,0.6016666666666667,4.021008004201576,4.158002795884386,5.351470555760898,8.364399982383475,4.072203204850666,4.158002795884386,5.351470555760898,0.659538324495467,0,0.0,0.0,0,0,4.0,39.109145000000005,40.894,2.84778846152,2.84778846152,170.89263070178018,0.047470175194938936,0.28482105116963363,284.8210511696336,0.4198836135178874,"{""lucid_revision"": 600}"
pi4b8_formal_18_fssql_r_n16_B0_s5102,pi4b8_formal_18_fssql_r_n16_B0_s5102,18,FSSQL-R,n16/B0,5102,413,171,0,16,0.7071917808219178,1.0,0.8284854563691074,0.9144385026737968,242.0,0.4033333333333333,3.8854360027471557,4.06160368147539,5.230678125517441,9.661654999945313,3.9430893196549732,4.06160368147539,5.230678125517441,0.42569531355790485,33,0.055,0.0,0,0,4.0,39.060445,40.894,2.749671815944,2.749671815944,164.99951930780972,0.04583319980772492,0.27499919884634955,274.9991988463495,0.3995145745951809,"{""fisvdd_revision"": 582, ""lucid_revision"": 16, ""oi_svdd_as_elm_revision"": 2}"
pi4b8_formal_19_threshold_n16_B1_s5102,pi4b8_formal_19_threshold_n16_B1_s5102,19,Threshold,n16/B1,5102,389,8,29,174,0.9798488664987406,0.930622009569378,0.9546012269938651,0.04395604395604396,381.0,0.635,3.697911015478894,3.820248738338705,4.903838944737799,5.676388012943789,3.730521899803231,3.820248738338705,4.903838944737799,0.2864726420860582,2,0.0033333333333333335,0.0,0,0,4.0,38.94356500000001,40.407,3.1432638451679997,3.1432638451679997,188.60884081115265,0.052391344669764625,0.3143480680185877,314.34806801858775,0.48485563190527675,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_20_fssql_r_n16_B1_s5102,pi4b8_formal_20_fssql_r_n16_B1_s5102,20,FSSQL-R,n16/B1,5102,418,178,0,4,0.7013422818791947,1.0,0.824457593688363,0.978021978021978,240.0,0.4,3.859602991724387,3.9993489015614614,5.0216255482519045,9.659044008003548,3.91000593144175,3.9993489015614614,5.0216255482519045,0.42299692349236767,13,0.021666666666666667,0.0,0,0,4.0,38.85996333333333,40.407,2.738650798848,2.738650798848,164.33784260664976,0.04564940072406938,0.27389640434441626,273.8964043444163,0.3931527335087315,"{""fisvdd_revision"": 592, ""lucid_revision"": 6, ""oi_svdd_as_elm_revision"": 2}"
