device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,T_next_measured_C,T_next_hat_C,T_residual_C
pi4b8g,fit,lucid_revision,n64,B0,41,21.153017,23.556491,-2.4034740000000028,32.128,33.257405479403864,-1.1294054794038644
pi4b8g,fit,lucid_revision,n64,B0,42,22.187073,23.556491,-1.3694179999999996,32.615,32.861079640771344,-0.2460796407713417
pi4b8g,fit,lucid_revision,n64,B0,43,22.226942,23.556491,-1.329549,33.102,33.25937780566921,-0.15737780566921344
pi4b8g,fit,lucid_revision,n64,B0,44,22.188313,23.556491,-1.3681780000000003,33.589,33.65753180438491,-0.0685318043849108
pi4b8g,fit,lucid_revision,n64,B0,45,22.169498,23.556491,-1.3869930000000004,32.615,34.055722192674025,-1.4407221926740235
pi4b8g,fit,lucid_revision,n64,B0,46,22.141369,23.556491,-1.4151220000000002,33.102,33.25922064583449,-0.15722064583449225
pi4b8g,fit,lucid_revision,n64,B0,47,22.173758,23.556491,-1.3827330000000018,33.102,33.657505073273526,-0.5555050732735296
pi4b8g,fit,lucid_revision,n64,B0,48,22.15911,23.556491,-1.3973810000000029,32.128,33.657478171362186,-1.529478171362186
pi4b8g,fit,lucid_revision,n64,B0,49,22.326774,23.556491,-1.2297170000000008,34.076,32.86133620985354,1.21466379014646
pi4b8g,fit,lucid_revision,n64,B0,50,22.161906,23.556491,-1.3945850000000029,33.589,34.45393319266104,-0.8649331926610415
pi4b8g,fit,lucid_revision,n64,B0,51,22.176573,23.556491,-1.379918,31.641,34.05573518632659,-2.4147351863265882
pi4b8g,fit,lucid_revision,n64,B0,52,22.176128,23.556491,-1.3803630000000027,33.102,32.86105953963675,0.24094046036324812
pi4b8g,fit,lucid_revision,n64,B0,53,22.166461,23.556491,-1.3900299999999994,33.589,33.65749167190494,-0.06849167190494398
pi4b8g,fit,lucid_revision,n64,B0,54,22.270423,23.556491,-1.2860680000000002,33.102,34.05590754735738,-0.9539075473573817
pi4b8g,fit,lucid_revision,n64,B0,55,22.264034,23.556491,-1.2924570000000024,32.615,33.65767087044365,-1.0426708704436507
pi4b8g,fit,lucid_revision,n64,B0,56,22.151425,23.556491,-1.4050660000000015,31.641,33.25923911426843,-1.6182391142684338
pi4b8g,fit,lucid_revision,n64,B0,57,22.249164,23.556491,-1.3073270000000008,33.102,32.46296873139506,0.6390312686049384
pi4b8g,fit,lucid_revision,n64,B0,58,22.371883,23.556491,-1.1846080000000008,32.615,33.65786894145922,-1.0428689414592185
pi4b8g,fit,lucid_revision,n64,B0,59,22.187202,23.556491,-1.369289000000002,33.102,33.25930482082783,-0.15730482082783226
pi4b8g,fit,lucid_revision,n64,B0,60,22.258608,23.556491,-1.2978830000000023,32.615,33.65766090527634,-1.0426609052763354
pi4b8g,fit,lucid_revision,n64,B0,61,22.222368,23.556491,-1.3341230000000017,33.102,33.25936940524988,-0.15736940524988086
pi4b8g,fit,lucid_revision,n64,B0,62,22.162646,23.556491,-1.3938450000000024,32.615,33.65748466543363,-1.0424846654336264
pi4b8g,fit,lucid_revision,n64,B0,63,22.212997,23.556491,-1.3434939999999997,33.102,33.259352194858614,-0.15735219485861762
pi4b8g,fit,lucid_revision,n64,B0,64,22.16785,23.556491,-1.3886409999999998,32.615,33.65749422288493,-1.042494222884926
pi4b8g,fit,lucid_revision,n64,B0,65,22.199442,23.556491,-1.357049,32.615,33.2593273003059,-0.6443273003058962
pi4b8g,fit,lucid_revision,n64,B0,66,22.134925,23.556491,-1.421566000000002,34.076,33.25920881105045,0.8167911889495514
pi4b8g,fit,lucid_revision,n64,B0,67,22.191128,23.556491,-1.365363000000002,34.076,34.453986860578375,-0.3779868605783747
pi4b8g,fit,lucid_revision,n64,B0,68,22.15435,23.556491,-1.4021410000000003,32.128,34.45391931562376,-2.325919315623757
pi4b8g,fit,lucid_revision,n64,B0,69,21.947262,23.556491,-1.6092290000000027,32.615,32.8606392138011,-0.24563921380109832
pi4b8g,fit,lucid_revision,n64,B0,70,22.202406,23.556491,-1.3540850000000013,33.102,32.86110780072537,0.2408921992746258
pi4b8g,fit,lucid_revision,n64,B0,71,22.162202,23.556491,-1.3942890000000006,33.589,33.65748385000158,-0.0684838500015843
pi4b8g,fit,lucid_revision,n64,B0,72,22.195054,23.556491,-1.3614370000000022,32.128,34.05576912776729,-1.9277691277672915
pi4b8g,fit,lucid_revision,n64,B0,73,22.153869,23.556491,-1.402622000000001,32.128,32.8610186596774,-0.7330186596773984
pi4b8g,fit,lucid_revision,n64,B0,74,22.143925,23.556491,-1.4125660000000018,32.615,32.861000396938024,-0.24600039693802245
pi4b8g,fit,lucid_revision,n64,B0,75,22.18135,23.556491,-1.3751410000000028,33.102,33.25929407328651,-0.1572940732865149
pi4b8g,fit,lucid_revision,n64,B0,76,22.151239,23.556491,-1.4052520000000008,33.102,33.65746371580893,-0.5554637158089335
pi4b8g,fit,lucid_revision,n64,B0,77,22.199202,23.556491,-1.3572890000000015,32.128,33.657551802672224,-1.5295518026722235
pi4b8g,fit,lucid_revision,n64,B0,78,22.205683,23.556491,-1.3508080000000007,32.615,32.86111381912812,-0.24611381912811936
pi4b8g,fit,lucid_revision,n64,B0,79,22.812727,23.556491,-0.7437640000000023,33.102,33.26045363418736,-0.15845363418736014
