policy,seed,window,epsilon,learning_rate,rolling_reward,rolling_utility,td_abs_mean,q_update_abs_mean,visited_states,visited_state_actions,greedy_policy_change_rate
Unshielded-Q,5101,5200,0.050000000,0.009504172,0.512162304,0.598736763,0.361038584,0.007548509,33,118,0.000000000
Unshielded-Q,5101,5300,0.050000000,0.024465549,0.505912358,0.595942070,0.373001812,0.007700174,33,118,0.000781250
Unshielded-Q,5101,5400,0.050000000,0.016032402,0.510777422,0.596370156,0.358549403,0.007170393,33,118,0.000781250
Unshielded-Q,5101,5500,0.050000000,0.009910390,0.548062416,0.649629073,0.360150688,0.007678501,33,118,0.000000000
Unshielded-Q,5101,5600,0.050000000,0.019174373,0.433399522,0.532044657,0.372505020,0.007690744,33,118,0.000000000
Unshielded-Q,5101,5700,0.050000000,0.014328778,0.558988706,0.660185990,0.391022153,0.007416488,33,118,0.000000000
Unshielded-Q,5101,5800,0.050000000,0.015754593,0.571061836,0.654793248,0.395695517,0.006377348,33,118,0.000000000
Unshielded-Q,5101,5900,0.050000000,0.039859966,0.491173005,0.576404036,0.369242299,0.006088090,33,118,0.000000000
Unshielded-Q,5101,6000,0.050000000,0.013923132,0.533601931,0.618987691,0.370237124,0.005571966,33,118,0.000000000
Unshielded-Q,5102,100,0.979100000,0.500000000,0.476505100,0.576422656,0.950040568,0.286209495,15,37,0.009375000
Unshielded-Q,5102,200,0.957988889,0.093410994,0.404802063,0.504546971,0.996329356,0.225450439,15,47,0.003906250
Unshielded-Q,5102,300,0.936877778,0.500000000,0.465981186,0.565688840,0.754161304,0.152468004,19,56,0.005468750
Unshielded-Q,5102,400,0.915766667,0.500000000,0.405782563,0.503856596,0.718843797,0.190016877,28,92,0.007812500
Unshielded-Q,5102,500,0.894655556,0.189464571,0.371352278,0.472148951,0.782726392,0.183104368,29,97,0.007812500
Unshielded-Q,5102,600,0.873544444,0.500000000,0.418580678,0.516274800,0.740882768,0.144775798,33,103,0.008593750
Unshielded-Q,5102,700,0.852433333,0.066332643,0.448613505,0.543117106,0.671944169,0.108528368,33,104,0.005468750
Unshielded-Q,5102,800,0.831322222,0.062720163,0.462136224,0.558765743,0.548810260,0.069627252,33,104,0.003906250
Unshielded-Q,5102,900,0.810211111,0.068594366,0.513527433,0.608132050,0.485232026,0.054532915,33,104,0.003125000
Unshielded-Q,5102,1000,0.789100000,0.109336207,0.473390862,0.571061612,0.558007421,0.067243096,34,105,0.004687500
Unshielded-Q,5102,1100,0.767988889,0.072681477,0.407122771,0.507464749,0.630950885,0.081071003,36,108,0.003906250
Unshielded-Q,5102,1200,0.746877778,0.072134995,0.410435849,0.510730387,0.600713345,0.070784790,36,110,0.002343750
Unshielded-Q,5102,1300,0.725766667,0.069558250,0.508842457,0.600366776,0.602044864,0.068327457,36,111,0.002343750
Unshielded-Q,5102,1400,0.704655556,0.047413768,0.552327456,0.641169668,0.551152057,0.049630908,36,111,0.003906250
Unshielded-Q,5102,1500,0.683544444,0.189464571,0.484648620,0.576263350,0.526476493,0.039852747,36,111,0.000000000
Unshielded-Q,5102,1600,0.662433333,0.079523347,0.545736325,0.644590614,0.548263940,0.046481064,36,112,0.003906250
Unshielded-Q,5102,1700,0.641322222,0.063865211,0.507263301,0.601501752,0.515339746,0.049741429,36,113,0.002343750
Unshielded-Q,5102,1800,0.620211111,0.138414549,0.474470428,0.567662072,0.520967987,0.040956830,36,113,0.001562500
Unshielded-Q,5102,1900,0.599100000,0.042006864,0.533908363,0.624238407,0.538808282,0.043742951,36,114,0.001562500
Unshielded-Q,5102,2000,0.577988889,0.037788468,0.520829938,0.605616349,0.512978898,0.033448182,36,114,0.000000000
Unshielded-Q,5102,2100,0.556877778,0.100541486,0.538005064,0.625605074,0.518134941,0.036180471,36,114,0.001562500
Unshielded-Q,5102,2200,0.535766667,0.036765370,0.498419708,0.589945637,0.564922124,0.044305228,36,115,0.000000000
Unshielded-Q,5102,2300,0.514655556,0.034387483,0.424204344,0.515675933,0.566815659,0.044678272,36,116,0.001562500
Unshielded-Q,5102,2400,0.493544444,0.031576533,0.539077439,0.631162204,0.525803612,0.032190817,36,116,0.001562500
Unshielded-Q,5102,2500,0.472433333,0.018941166,0.544218342,0.622146508,0.563136008,0.046816282,37,117,0.002343750
Unshielded-Q,5102,2600,0.451322222,0.041257450,0.439936486,0.531749271,0.544158951,0.038340830,38,118,0.001562500
