global_order,run_id,status,start_utc,end_utc,output,failure_reason
27,pi3bplus_stress_v3_unshielded_q_s4105_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:18:11Z,2026-09-10T01:19:42Z,027_pi3bplus_stress_v3_unshielded_q_s4105_a1,
28,pi3bplus_stress_v3_safe_greedy_s4105_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:19:42Z,2026-09-10T01:21:13Z,028_pi3bplus_stress_v3_safe_greedy_s4105_a1,
29,pi3bplus_stress_v3_threshold_s4105_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:21:13Z,2026-09-10T01:22:44Z,029_pi3bplus_stress_v3_threshold_s4105_a1,
30,pi3bplus_stress_v3_static_light_s4105_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:22:44Z,2026-09-10T01:24:15Z,030_pi3bplus_stress_v3_static_light_s4105_a1,
31,pi3bplus_stress_v3_safe_greedy_s4106_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:24:15Z,2026-09-10T01:25:46Z,031_pi3bplus_stress_v3_safe_greedy_s4106_a1,
32,pi3bplus_stress_v3_static_light_s4106_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:25:46Z,2026-09-10T01:27:17Z,032_pi3bplus_stress_v3_static_light_s4106_a1,
33,pi3bplus_stress_v3_round_robin_s4106_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:27:17Z,2026-09-10T01:28:48Z,033_pi3bplus_stress_v3_round_robin_s4106_a1,
34,pi3bplus_stress_v3_unshielded_q_s4106_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:28:48Z,2026-09-10T01:30:19Z,034_pi3bplus_stress_v3_unshielded_q_s4106_a1,
35,pi3bplus_stress_v3_fssql_r_s4106_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:30:19Z,2026-09-10T01:31:50Z,035_pi3bplus_stress_v3_fssql_r_s4106_a1,
36,pi3bplus_stress_v3_threshold_s4106_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:31:50Z,2026-09-10T01:33:21Z,036_pi3bplus_stress_v3_threshold_s4106_a1,
37,pi3bplus_stress_v3_static_light_s4107_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:33:21Z,2026-09-10T01:34:52Z,037_pi3bplus_stress_v3_static_light_s4107_a1,
38,pi3bplus_stress_v3_safe_greedy_s4107_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:34:52Z,2026-09-10T01:36:23Z,038_pi3bplus_stress_v3_safe_greedy_s4107_a1,
39,pi3bplus_stress_v3_fssql_r_s4107_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:36:23Z,2026-09-10T01:37:54Z,039_pi3bplus_stress_v3_fssql_r_s4107_a1,
40,pi3bplus_stress_v3_threshold_s4107_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:37:54Z,2026-09-10T01:39:24Z,040_pi3bplus_stress_v3_threshold_s4107_a1,
41,pi3bplus_stress_v3_unshielded_q_s4107_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:39:24Z,2026-09-10T01:40:55Z,041_pi3bplus_stress_v3_unshielded_q_s4107_a1,
42,pi3bplus_stress_v3_round_robin_s4107_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:40:55Z,2026-09-10T01:42:26Z,042_pi3bplus_stress_v3_round_robin_s4107_a1,
43,pi3bplus_stress_v3_threshold_s4108_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:42:26Z,2026-09-10T01:43:57Z,043_pi3bplus_stress_v3_threshold_s4108_a1,
44,pi3bplus_stress_v3_safe_greedy_s4108_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:43:57Z,2026-09-10T01:45:28Z,044_pi3bplus_stress_v3_safe_greedy_s4108_a1,
45,pi3bplus_stress_v3_static_light_s4108_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:45:28Z,2026-09-10T01:46:59Z,045_pi3bplus_stress_v3_static_light_s4108_a1,
46,pi3bplus_stress_v3_round_robin_s4108_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:46:59Z,2026-09-10T01:48:30Z,046_pi3bplus_stress_v3_round_robin_s4108_a1,
