device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,tau_upper_ms,latency_covered,T_next_measured_C,T_next_hat_C,T_residual_C,T_upper_C,thermal_covered,joint_covered
pi3bplus,coverage,tinydl_revision,n256,B0,0,23.59794,24.358578,-0.7606380000000001,34.91439499999999,True,31.096,31.04712542469063,0.04887457530936956,32.64896002736888,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,1,22.316129,24.358578,-2.0424490000000013,34.91439499999999,True,30.558,31.04631287482375,-0.48831287482375174,32.648147477502,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,2,21.957175,24.358578,-2.401403000000002,34.91439499999999,True,30.558,31.503810281375127,-0.9458102813751275,33.10564488405338,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,3,21.887593,24.358578,-2.4709850000000024,34.91439499999999,True,30.02,31.04604122255228,-1.02604122255228,32.647875825230535,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,4,21.914311,24.358578,-2.444267,34.91439499999999,True,30.02,31.046058159298287,-1.0260581592982874,32.64789276197654,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,5,21.805719,24.358578,-2.5528590000000015,34.91439499999999,True,30.558,31.50371427225004,-0.94571427225004,33.105548874928296,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,6,21.81077,24.358578,-2.547808,34.91439499999999,True,31.096,31.0459925238608,0.05000747613919998,32.64782712653905,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,7,21.953529,24.358578,-2.4050490000000018,34.91439499999999,True,30.558,31.04608301989059,-0.4880830198905919,32.64791762256885,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,8,22.03233,24.358578,-2.3262479999999996,34.91439499999999,True,31.096,30.588408022194454,0.5075919778055464,32.1902426248727,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,9,22.11733,24.358578,-2.2412480000000023,34.91439499999999,True,30.558,31.503911804863325,-0.945911804863325,33.10574640754158,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,10,21.915561,24.358578,-2.443017000000001,34.91439499999999,True,30.558,31.503783901939972,-0.9457839019399721,33.10561850461823,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,11,21.970561,24.358578,-2.3880170000000014,34.91439499999999,True,30.558,31.503818766863642,-0.945818766863642,33.10565336954189,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,12,22.082487,24.358578,-2.276091000000001,34.91439499999999,True,30.558,31.04616476736017,-0.4881647673601712,32.64799937003843,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,13,21.812906,24.358578,-2.5456719999999997,34.91439499999999,True,30.02,31.04599387788765,-1.0259938778876503,32.6478284805659,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,14,21.872436,24.358578,-2.486142000000001,34.91439499999999,True,31.096,31.04603161441322,0.04996838558678007,32.64786621709147,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,15,22.029414,24.358578,-2.3291640000000022,34.91439499999999,True,30.02,31.046131123976647,-1.026131123976647,32.647965726654895,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,16,22.031862,24.358578,-2.326716000000001,34.91439499999999,True,31.096,31.046132675782705,0.04986732421729556,32.64796727846096,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,17,21.844156,24.358578,-2.5144219999999997,34.91439499999999,True,31.096,31.04601368750338,0.04998631249662111,32.647848290181635,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,18,21.927905,24.358578,-2.4306730000000023,34.91439499999999,True,31.096,31.04606677663961,0.049933223360390855,32.647901379317865,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,19,22.038268,24.358578,-2.3203100000000028,34.91439499999999,True,31.096,31.046136736595447,0.04986326340455349,32.6479713392737,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,20,21.92655,24.358578,-2.4320280000000025,34.91439499999999,True,30.558,31.503790867951718,-0.9457908679517182,33.10562547062997,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,21,21.853687,24.358578,-2.5048910000000006,34.91439499999999,True,30.558,31.503744679534744,-0.9457446795347444,33.10557928221299,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,22,22.009414,24.358578,-2.349164000000002,34.91439499999999,True,30.558,31.046118445822582,-0.48811844582258246,32.64795304850083,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,23,22.012852,24.358578,-2.3457260000000026,34.91439499999999,True,31.096,30.588395674940212,0.5076043250597877,32.19023027761846,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,24,21.786708,24.358578,-2.5718700000000005,34.91439499999999,True,30.558,31.503702221030697,-0.9457022210306967,33.10553682370895,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,25,21.823635,24.358578,-2.534943000000002,34.91439499999999,True,30.558,31.503725629340455,-0.9457256293404548,33.10556023201871,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,26,22.078372,24.358578,-2.2802059999999997,34.91439499999999,True,30.558,31.503887109087028,-0.9458871090870282,33.10572171176528,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,27,21.942904,24.358578,-2.4156740000000028,34.91439499999999,True,30.558,30.588351334364194,-0.03035133436419457,32.19018593704244,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,28,21.805666,24.358578,-2.5529120000000027,34.91439499999999,True,31.096,31.503714238652936,-0.407714238652936,33.10554884133119,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,29,21.799416,24.358578,-2.5591620000000006,34.91439499999999,True,30.558,31.045985326472735,-0.4879853264727352,32.64781992915099,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,30,21.963685,24.358578,-2.3948929999999997,34.91439499999999,True,30.558,31.503814408114277,-0.945814408114277,33.105649010792526,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,31,21.859051,24.358578,-2.4995270000000005,34.91439499999999,True,30.558,31.046023129558616,-0.4880231295586164,32.647857732236865,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,32,21.800093,24.358578,-2.558485000000001,34.91439499999999,True,31.096,31.503710705885307,-0.40771070588530733,33.105545308563556,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,33,21.846395,24.358578,-2.5121830000000003,34.91439499999999,True,30.558,31.503740057079778,-0.945740057079778,33.10557465975803,True,True
pi3bplus,coverage,tinydl_revision,n256,B0,34,23.939394,24.358578,-0.41918400000000133,34.91439499999999,True,30.558,31.505066825268553,-0.9470668252685535,33.1069014279468,True,True
