timestamp_utc,temperature_c,throttled
2026-09-10T13:06:52Z,32.128,0x0
2026-09-10T13:06:53Z,32.615,0x0
2026-09-10T13:06:54Z,32.615,0x0
2026-09-10T13:06:55Z,33.102,0x0
2026-09-10T13:06:56Z,32.615,0x0
2026-09-10T13:06:57Z,32.128,0x0
2026-09-10T13:06:58Z,33.102,0x0
2026-09-10T13:06:59Z,32.128,0x0
2026-09-10T13:07:00Z,33.102,0x0
2026-09-10T13:07:01Z,32.615,0x0
2026-09-10T13:07:02Z,34.563,0x0
2026-09-10T13:07:03Z,35.537,0x0
2026-09-10T13:07:04Z,36.998,0x0
2026-09-10T13:07:05Z,36.511,0x0
2026-09-10T13:07:06Z,36.998,0x0
2026-09-10T13:07:07Z,37.485,0x0
2026-09-10T13:07:08Z,37.972,0x0
2026-09-10T13:07:09Z,36.024,0x0
2026-09-10T13:07:10Z,36.024,0x0
2026-09-10T13:07:11Z,34.563,0x0
2026-09-10T13:07:12Z,34.563,0x0
2026-09-10T13:07:13Z,34.076,0x0
2026-09-10T13:07:14Z,35.05,0x0
2026-09-10T13:07:15Z,35.537,0x0
2026-09-10T13:07:16Z,36.511,0x0
2026-09-10T13:07:17Z,36.024,0x0
2026-09-10T13:07:18Z,36.024,0x0
2026-09-10T13:07:19Z,36.511,0x0
2026-09-10T13:07:20Z,38.459,0x0
2026-09-10T13:07:21Z,36.998,0x0
2026-09-10T13:07:22Z,36.998,0x0
2026-09-10T13:07:23Z,36.511,0x0
2026-09-10T13:07:24Z,34.563,0x0
2026-09-10T13:07:25Z,35.537,0x0
2026-09-10T13:07:26Z,34.563,0x0
2026-09-10T13:07:27Z,35.05,0x0
2026-09-10T13:07:28Z,36.511,0x0
2026-09-10T13:07:29Z,36.024,0x0
2026-09-10T13:07:30Z,36.024,0x0
2026-09-10T13:07:31Z,36.998,0x0
2026-09-10T13:07:32Z,36.511,0x0
2026-09-10T13:07:33Z,37.485,0x0
2026-09-10T13:07:34Z,36.998,0x0
2026-09-10T13:07:35Z,38.459,0x0
2026-09-10T13:07:36Z,37.485,0x0
2026-09-10T13:07:37Z,37.485,0x0
2026-09-10T13:07:38Z,37.972,0x0
2026-09-10T13:07:39Z,37.485,0x0
2026-09-10T13:07:40Z,36.511,0x0
2026-09-10T13:07:42Z,36.511,0x0
2026-09-10T13:07:43Z,35.537,0x0
2026-09-10T13:07:44Z,37.972,0x0
2026-09-10T13:07:45Z,35.537,0x0
2026-09-10T13:07:46Z,36.511,0x0
2026-09-10T13:07:47Z,36.024,0x0
2026-09-10T13:07:48Z,36.024,0x0
2026-09-10T13:07:49Z,36.998,0x0
2026-09-10T13:07:50Z,37.972,0x0
2026-09-10T13:07:51Z,38.459,0x0
2026-09-10T13:07:52Z,40.894,0x0
2026-09-10T13:07:53Z,40.407,0x0
2026-09-10T13:07:54Z,40.407,0x0
2026-09-10T13:07:55Z,40.407,0x0
2026-09-10T13:07:56Z,41.381,0x0
2026-09-10T13:07:57Z,40.894,0x0
2026-09-10T13:07:58Z,41.381,0x0
2026-09-10T13:07:59Z,40.894,0x0
2026-09-10T13:08:00Z,41.381,0x0
2026-09-10T13:08:01Z,42.842,0x0
2026-09-10T13:08:02Z,39.433,0x0
2026-09-10T13:08:03Z,39.433,0x0
2026-09-10T13:08:04Z,39.92,0x0
2026-09-10T13:08:05Z,39.433,0x0
2026-09-10T13:08:06Z,37.972,0x0
2026-09-10T13:08:07Z,38.946,0x0
2026-09-10T13:08:08Z,38.459,0x0
2026-09-10T13:08:09Z,38.459,0x0
2026-09-10T13:08:10Z,39.433,0x0
2026-09-10T13:08:11Z,38.459,0x0
2026-09-10T13:08:12Z,38.459,0x0
2026-09-10T13:08:13Z,37.485,0x0
2026-09-10T13:08:14Z,37.485,0x0
2026-09-10T13:08:15Z,36.998,0x0
2026-09-10T13:08:16Z,36.998,0x0
2026-09-10T13:08:17Z,37.972,0x0
2026-09-10T13:08:18Z,37.485,0x0
2026-09-10T13:08:19Z,38.946,0x0
2026-09-10T13:08:20Z,37.972,0x0
2026-09-10T13:08:21Z,37.972,0x0
2026-09-10T13:08:22Z,37.485,0x0
