block_index,action,workload_bin,background,start_utc,end_utc,throttled_before,throttled_after,temperature_before_c,temperature_after_c,windows_expected,windows_observed,valid,invalidation_reason
44,oi_svdd_as_elm_revision,n1,B2,2026-09-10T13:10:48Z,2026-09-10T13:10:52Z,0x0,0x0,36.024,38.946,40,40,1,
45,fisvdd_revision,n1,B0,2026-09-10T13:10:52Z,2026-09-10T13:10:57Z,0x0,0x0,38.946,36.511,40,40,1,
46,lucid_revision,n64,B1,2026-09-10T13:10:57Z,2026-09-10T13:11:02Z,0x0,0x0,36.511,37.485,40,40,1,
47,fisvdd_revision,n1024,B2,2026-09-10T13:11:02Z,2026-09-10T13:11:06Z,0x0,0x0,37.972,38.459,40,40,1,
48,fisvdd_revision,n512,B2,2026-09-10T13:11:06Z,2026-09-10T13:11:11Z,0x0,0x0,40.407,39.433,40,40,1,
49,oi_svdd_as_elm_revision,n1024,B2,2026-09-10T13:11:11Z,2026-09-10T13:11:16Z,0x0,0x0,39.433,40.894,40,40,1,
50,tinydl_revision,n256,B1,2026-09-10T13:11:16Z,2026-09-10T13:11:20Z,0x0,0x0,40.894,38.459,40,40,1,
51,fisvdd_revision,n1,B1,2026-09-10T13:11:20Z,2026-09-10T13:11:25Z,0x0,0x0,38.459,37.972,40,40,1,
52,lucid_revision,n256,B1,2026-09-10T13:11:25Z,2026-09-10T13:11:30Z,0x0,0x0,37.972,38.946,40,40,1,
53,lucid_revision,n256,B2,2026-09-10T13:11:30Z,2026-09-10T13:11:34Z,0x0,0x0,38.946,40.894,40,40,1,
54,tinydl_revision,n1,B2,2026-09-10T13:11:34Z,2026-09-10T13:11:39Z,0x0,0x0,40.894,40.894,40,40,1,
55,fisvdd_revision,n16,B2,2026-09-10T13:11:39Z,2026-09-10T13:11:44Z,0x0,0x0,40.894,39.920,40,40,1,
56,tinydl_revision,n1,B0,2026-09-10T13:11:44Z,2026-09-10T13:11:48Z,0x0,0x0,39.920,36.998,40,40,1,
57,oi_svdd_as_elm_revision,n1,B1,2026-09-10T13:11:48Z,2026-09-10T13:11:53Z,0x0,0x0,36.998,36.998,40,40,1,
58,oi_svdd_as_elm_revision,n64,B1,2026-09-10T13:11:53Z,2026-09-10T13:11:58Z,0x0,0x0,36.998,37.485,40,40,1,
59,oi_svdd_as_elm_revision,n256,B1,2026-09-10T13:11:58Z,2026-09-10T13:12:02Z,0x0,0x0,37.485,38.459,40,40,1,
60,fisvdd_revision,n256,B1,2026-09-10T13:12:02Z,2026-09-10T13:12:07Z,0x0,0x0,38.459,37.485,40,40,1,
61,oi_svdd_as_elm_revision,n16,B0,2026-09-10T13:12:07Z,2026-09-10T13:12:11Z,0x0,0x0,37.485,37.485,40,40,1,
62,lucid_revision,n16,B1,2026-09-10T13:12:11Z,2026-09-10T13:12:16Z,0x0,0x0,37.485,37.972,40,40,1,
63,oi_svdd_as_elm_revision,n16,B1,2026-09-10T13:12:16Z,2026-09-10T13:12:21Z,0x0,0x0,37.972,38.459,40,40,1,
64,fisvdd_revision,n64,B2,2026-09-10T13:12:21Z,2026-09-10T13:12:25Z,0x0,0x0,38.459,38.459,40,40,1,
65,tinydl_revision,n1024,B2,2026-09-10T13:12:25Z,2026-09-10T13:12:30Z,0x0,0x0,38.459,40.407,40,40,1,
66,oi_svdd_as_elm_revision,n512,B1,2026-09-10T13:12:30Z,2026-09-10T13:12:35Z,0x0,0x0,40.407,39.920,40,40,1,
67,fisvdd_revision,n64,B0,2026-09-10T13:12:35Z,2026-09-10T13:12:39Z,0x0,0x0,39.920,36.998,40,40,1,
68,lucid_revision,n16,B2,2026-09-10T13:12:39Z,2026-09-10T13:12:44Z,0x0,0x0,36.998,38.459,40,40,1,
69,fisvdd_revision,n64,B1,2026-09-10T13:12:44Z,2026-09-10T13:12:49Z,0x0,0x0,38.459,38.459,40,40,1,
70,fisvdd_revision,n1024,B0,2026-09-10T13:12:49Z,2026-09-10T13:12:53Z,0x0,0x0,38.459,37.972,40,40,1,
71,oi_svdd_as_elm_revision,n512,B0,2026-09-10T13:12:53Z,2026-09-10T13:12:58Z,0x0,0x0,37.972,38.459,40,40,1,
