split,action,metric,n,rank,value,ecdf
fit,fisvdd_revision,tau_residual_ms,720,77,-4.0750550000000025,0.10694444444444444
fit,fisvdd_revision,tau_residual_ms,720,78,-4.025112,0.10833333333333334
fit,fisvdd_revision,tau_residual_ms,720,79,-3.3202909999999974,0.10972222222222222
fit,fisvdd_revision,tau_residual_ms,720,80,-3.2642179999999996,0.1111111111111111
fit,fisvdd_revision,tau_residual_ms,720,81,-3.254847999999999,0.1125
fit,fisvdd_revision,tau_residual_ms,720,82,-3.2541999999999973,0.11388888888888889
fit,fisvdd_revision,tau_residual_ms,720,83,-3.245384999999999,0.11527777777777778
fit,fisvdd_revision,tau_residual_ms,720,84,-3.2239039999999974,0.11666666666666667
fit,fisvdd_revision,tau_residual_ms,720,85,-3.210144999999997,0.11805555555555555
fit,fisvdd_revision,tau_residual_ms,720,86,-3.195089999999997,0.11944444444444445
fit,fisvdd_revision,tau_residual_ms,720,87,-3.193904,0.12083333333333333
fit,fisvdd_revision,tau_residual_ms,720,88,-3.1827189999999987,0.12222222222222222
fit,fisvdd_revision,tau_residual_ms,720,89,-3.176368,0.12361111111111112
fit,fisvdd_revision,tau_residual_ms,720,90,-3.1720159999999993,0.125
fit,fisvdd_revision,tau_residual_ms,720,91,-3.161942,0.12638888888888888
fit,fisvdd_revision,tau_residual_ms,720,92,-3.1458869999999983,0.12777777777777777
fit,fisvdd_revision,tau_residual_ms,720,93,-3.1449979999999975,0.12916666666666668
fit,fisvdd_revision,tau_residual_ms,720,94,-3.1326459999999976,0.13055555555555556
fit,fisvdd_revision,tau_residual_ms,720,95,-3.1325719999999997,0.13194444444444445
fit,fisvdd_revision,tau_residual_ms,720,96,-3.123776999999997,0.13333333333333333
fit,fisvdd_revision,tau_residual_ms,720,97,-3.118461,0.13472222222222222
fit,fisvdd_revision,tau_residual_ms,720,98,-3.1104619999999983,0.1361111111111111
fit,fisvdd_revision,tau_residual_ms,720,99,-3.103368999999997,0.1375
fit,fisvdd_revision,tau_residual_ms,720,100,-3.0915169999999996,0.1388888888888889
fit,fisvdd_revision,tau_residual_ms,720,101,-3.080924999999997,0.14027777777777778
fit,fisvdd_revision,tau_residual_ms,720,102,-3.0658519999999996,0.14166666666666666
fit,fisvdd_revision,tau_residual_ms,720,103,-3.0528699999999986,0.14305555555555555
fit,fisvdd_revision,tau_residual_ms,720,104,-3.022054999999998,0.14444444444444443
fit,fisvdd_revision,tau_residual_ms,720,105,-3.009833999999998,0.14583333333333334
fit,fisvdd_revision,tau_residual_ms,720,106,-2.986851999999999,0.14722222222222223
fit,fisvdd_revision,tau_residual_ms,720,107,-2.981741999999997,0.1486111111111111
fit,fisvdd_revision,tau_residual_ms,720,108,-2.976723,0.15
fit,fisvdd_revision,tau_residual_ms,720,109,-2.9329089999999987,0.15138888888888888
fit,fisvdd_revision,tau_residual_ms,720,110,-2.8463369999999983,0.1527777777777778
fit,fisvdd_revision,tau_residual_ms,720,111,-2.8294849999999983,0.15416666666666667
fit,fisvdd_revision,tau_residual_ms,720,112,-2.783559999999998,0.15555555555555556
fit,fisvdd_revision,tau_residual_ms,720,113,-2.7522269999999978,0.15694444444444444
fit,fisvdd_revision,tau_residual_ms,720,114,-2.7355049999999963,0.15833333333333333
fit,fisvdd_revision,tau_residual_ms,720,115,-2.716116999999997,0.1597222222222222
fit,fisvdd_revision,tau_residual_ms,720,116,-2.705357999999997,0.16111111111111112
fit,fisvdd_revision,tau_residual_ms,720,117,-2.7016729999999995,0.1625
fit,fisvdd_revision,tau_residual_ms,720,118,-2.6958389999999994,0.1638888888888889
fit,fisvdd_revision,tau_residual_ms,720,119,-2.6433779999999985,0.16527777777777777
fit,fisvdd_revision,tau_residual_ms,720,120,-2.5953969999999984,0.16666666666666666
fit,fisvdd_revision,tau_residual_ms,720,121,-2.593508,0.16805555555555557
fit,fisvdd_revision,tau_residual_ms,720,122,-2.5928600000000017,0.16944444444444445
fit,fisvdd_revision,tau_residual_ms,720,123,-2.5916739999999976,0.17083333333333334
fit,fisvdd_revision,tau_residual_ms,720,124,-2.589655999999998,0.17222222222222222
fit,fisvdd_revision,tau_residual_ms,720,125,-2.575564,0.1736111111111111
fit,fisvdd_revision,tau_residual_ms,720,126,-2.570304,0.175
fit,fisvdd_revision,tau_residual_ms,720,127,-2.566248999999999,0.1763888888888889
fit,fisvdd_revision,tau_residual_ms,720,128,-2.561045,0.17777777777777778
fit,fisvdd_revision,tau_residual_ms,720,129,-2.5557129999999972,0.17916666666666667
fit,fisvdd_revision,tau_residual_ms,720,130,-2.538007999999998,0.18055555555555555
fit,fisvdd_revision,tau_residual_ms,720,131,-2.512194000000001,0.18194444444444444
fit,fisvdd_revision,tau_residual_ms,720,132,-2.509361999999996,0.18333333333333332
fit,fisvdd_revision,tau_residual_ms,720,133,-2.5027320000000017,0.18472222222222223
fit,fisvdd_revision,tau_residual_ms,720,134,-2.478176999999995,0.18611111111111112
fit,fisvdd_revision,tau_residual_ms,720,135,-2.4659909999999954,0.1875
fit,fisvdd_revision,tau_residual_ms,720,136,-2.4652699999999967,0.18888888888888888
fit,fisvdd_revision,tau_residual_ms,720,137,-2.4596579999999975,0.19027777777777777
fit,fisvdd_revision,tau_residual_ms,720,138,-2.4308440000000004,0.19166666666666668
fit,fisvdd_revision,tau_residual_ms,720,139,-2.413677,0.19305555555555556
fit,fisvdd_revision,tau_residual_ms,720,140,-2.4079380000000015,0.19444444444444445
fit,fisvdd_revision,tau_residual_ms,720,141,-2.3880860000000013,0.19583333333333333
fit,fisvdd_revision,tau_residual_ms,720,142,-2.384492999999999,0.19722222222222222
fit,fisvdd_revision,tau_residual_ms,720,143,-2.3366609999999994,0.1986111111111111
fit,fisvdd_revision,tau_residual_ms,720,144,-2.313735000000001,0.2
fit,fisvdd_revision,tau_residual_ms,720,145,-2.2194959999999995,0.2013888888888889
fit,fisvdd_revision,tau_residual_ms,720,146,-2.1206460000000007,0.20277777777777778
fit,fisvdd_revision,tau_residual_ms,720,147,-2.1194789999999983,0.20416666666666666
fit,fisvdd_revision,tau_residual_ms,720,148,-2.111739,0.20555555555555555
fit,fisvdd_revision,tau_residual_ms,720,149,-2.1086090000000013,0.20694444444444443
fit,fisvdd_revision,tau_residual_ms,720,150,-2.106943000000001,0.20833333333333334
fit,fisvdd_revision,tau_residual_ms,720,151,-2.106220999999998,0.20972222222222223
fit,fisvdd_revision,tau_residual_ms,720,152,-2.094628,0.2111111111111111
fit,fisvdd_revision,tau_residual_ms,720,153,-2.078387999999997,0.2125
fit,fisvdd_revision,tau_residual_ms,720,154,-2.0752960000000016,0.21388888888888888
fit,fisvdd_revision,tau_residual_ms,720,155,-2.0700360000000018,0.2152777777777778
fit,fisvdd_revision,tau_residual_ms,720,156,-2.0677219999999963,0.21666666666666667
fit,fisvdd_revision,tau_residual_ms,720,157,-2.0452399999999997,0.21805555555555556
fit,fisvdd_revision,tau_residual_ms,720,158,-2.041166999999998,0.21944444444444444
fit,fisvdd_revision,tau_residual_ms,720,159,-2.016019,0.22083333333333333
fit,fisvdd_revision,tau_residual_ms,720,160,-2.002184999999997,0.2222222222222222
fit,fisvdd_revision,tau_residual_ms,720,161,-1.9993889999999972,0.22361111111111112
fit,fisvdd_revision,tau_residual_ms,720,162,-1.9903890000000004,0.225
fit,fisvdd_revision,tau_residual_ms,720,163,-1.9825930000000014,0.2263888888888889
fit,fisvdd_revision,tau_residual_ms,720,164,-1.9785559999999975,0.22777777777777777
fit,fisvdd_revision,tau_residual_ms,720,165,-1.9776299999999978,0.22916666666666666
fit,fisvdd_revision,tau_residual_ms,720,166,-1.9763519999999986,0.23055555555555557
fit,fisvdd_revision,tau_residual_ms,720,167,-1.9708339999999964,0.23194444444444445
fit,fisvdd_revision,tau_residual_ms,720,168,-1.9675930000000008,0.23333333333333334
fit,fisvdd_revision,tau_residual_ms,720,169,-1.9438529999999972,0.23472222222222222
fit,fisvdd_revision,tau_residual_ms,720,170,-1.941149000000003,0.2361111111111111
fit,fisvdd_revision,tau_residual_ms,720,171,-1.9163899999999998,0.2375
fit,fisvdd_revision,tau_residual_ms,720,172,-1.914779000000003,0.2388888888888889
fit,fisvdd_revision,tau_residual_ms,720,173,-1.9044509999999946,0.24027777777777778
fit,fisvdd_revision,tau_residual_ms,720,174,-1.899801999999994,0.24166666666666667
fit,fisvdd_revision,tau_residual_ms,720,175,-1.8940759999999983,0.24305555555555555
fit,fisvdd_revision,tau_residual_ms,720,176,-1.8793170000000003,0.24444444444444444
fit,fisvdd_revision,tau_residual_ms,720,177,-1.8700580000000002,0.24583333333333332
fit,fisvdd_revision,tau_residual_ms,720,178,-1.8604660000000024,0.24722222222222223
fit,fisvdd_revision,tau_residual_ms,720,179,-1.8505770000000012,0.24861111111111112
fit,fisvdd_revision,tau_residual_ms,720,180,-1.8347300000000004,0.25
fit,fisvdd_revision,tau_residual_ms,720,181,-1.813767999999996,0.2513888888888889
fit,fisvdd_revision,tau_residual_ms,720,182,-1.812021999999999,0.25277777777777777
fit,fisvdd_revision,tau_residual_ms,720,183,-1.8104529999999954,0.25416666666666665
fit,fisvdd_revision,tau_residual_ms,720,184,-1.7887500000000003,0.25555555555555554
fit,fisvdd_revision,tau_residual_ms,720,185,-1.7793009999999967,0.2569444444444444
fit,fisvdd_revision,tau_residual_ms,720,186,-1.7787819999999996,0.25833333333333336
fit,fisvdd_revision,tau_residual_ms,720,187,-1.7736340000000013,0.25972222222222224
fit,fisvdd_revision,tau_residual_ms,720,188,-1.7624159999999947,0.2611111111111111
fit,fisvdd_revision,tau_residual_ms,720,189,-1.757711999999998,0.2625
fit,fisvdd_revision,tau_residual_ms,720,190,-1.755119999999998,0.2638888888888889
fit,fisvdd_revision,tau_residual_ms,720,191,-1.7524670000000029,0.2652777777777778
fit,fisvdd_revision,tau_residual_ms,720,192,-1.746508999999996,0.26666666666666666
fit,fisvdd_revision,tau_residual_ms,720,193,-1.738897999999999,0.26805555555555555
fit,fisvdd_revision,tau_residual_ms,720,194,-1.7381389999999968,0.26944444444444443
fit,fisvdd_revision,tau_residual_ms,720,195,-1.736063999999999,0.2708333333333333
fit,fisvdd_revision,tau_residual_ms,720,196,-1.7298240000000007,0.2722222222222222
fit,fisvdd_revision,tau_residual_ms,720,197,-1.7240800000000007,0.27361111111111114
fit,fisvdd_revision,tau_residual_ms,720,198,-1.7172319999999957,0.275
fit,fisvdd_revision,tau_residual_ms,720,199,-1.710916999999995,0.2763888888888889
fit,fisvdd_revision,tau_residual_ms,720,200,-1.7056589999999971,0.2777777777777778
fit,fisvdd_revision,tau_residual_ms,720,201,-1.6743809999999968,0.2791666666666667
fit,fisvdd_revision,tau_residual_ms,720,202,-1.651099000000002,0.28055555555555556
fit,fisvdd_revision,tau_residual_ms,720,203,-1.648658999999995,0.28194444444444444
fit,fisvdd_revision,tau_residual_ms,720,204,-1.642713999999998,0.2833333333333333
fit,fisvdd_revision,tau_residual_ms,720,205,-1.6403809999999979,0.2847222222222222
fit,fisvdd_revision,tau_residual_ms,720,206,-1.6390299999999982,0.2861111111111111
fit,fisvdd_revision,tau_residual_ms,720,207,-1.6366399999999999,0.2875
fit,fisvdd_revision,tau_residual_ms,720,208,-1.634843999999994,0.28888888888888886
fit,fisvdd_revision,tau_residual_ms,720,209,-1.621344999999998,0.2902777777777778
fit,fisvdd_revision,tau_residual_ms,720,210,-1.6147339999999986,0.2916666666666667
fit,fisvdd_revision,tau_residual_ms,720,211,-1.6024739999999937,0.29305555555555557
fit,fisvdd_revision,tau_residual_ms,720,212,-1.5666049999999956,0.29444444444444445
fit,fisvdd_revision,tau_residual_ms,720,213,-1.5616379999999985,0.29583333333333334
fit,fisvdd_revision,tau_residual_ms,720,214,-1.5606929999999988,0.2972222222222222
fit,fisvdd_revision,tau_residual_ms,720,215,-1.550582999999996,0.2986111111111111
fit,fisvdd_revision,tau_residual_ms,720,216,-1.531879,0.3
fit,fisvdd_revision,tau_residual_ms,720,217,-1.5303089999999955,0.3013888888888889
fit,fisvdd_revision,tau_residual_ms,720,218,-1.5275679999999952,0.30277777777777776
fit,fisvdd_revision,tau_residual_ms,720,219,-1.5268079999999955,0.30416666666666664
